country,model,MAE,RMSE,MAPE,sMAPE,train_seconds,predict_seconds,n_train,n_test
Brazil,Moving Average,0.2740408096430213,0.3733431956710628,7.80070063019281,7.271916613578888,4.624999564839527e-05,8.441700629191473e-05,967,30
Brazil,Random Forest,0.2696230443038547,0.37667987091580907,7.70718692773423,7.160444959625015,0.21098816599987913,0.8042877090047114,967,30
Brazil,Naive,0.28989447528856677,0.4084481414378359,8.308209512042836,7.657606775187115,1.0833995474968106e-05,2.0000006770715117e-06,967,30
Brazil,ARIMA,0.3705953469394915,0.49425613799074364,10.530320820202006,9.595442616992923,0.038901042003999464,0.0013144999975338578,967,30
Germany,Naive,8.163366239118643,8.553980920964147,153.29401997252972,80.55194547994155,1.1165997420903295e-05,1.9999934011138976e-06,838,30
Germany,ARIMA,8.163366239118643,8.553980920964147,153.29401997252972,80.55194547994155,0.009102750002057292,0.0005451670003822073,838,30
Germany,Moving Average,8.68431670533775,9.019744468082049,161.92440037655672,83.42269045582388,4.262499714968726e-05,7.683299918426201e-05,838,30
Germany,Random Forest,9.496599324594971,10.06599903574202,181.17452001943113,86.7333182160977,0.16206766699906439,0.7894803329982096,838,30
Japan,ARIMA,1.21018396838269,1.5019424528773548,17.85728274510686,17.47000956073467,0.028811459000280593,0.0005051670013926923,581,30
Japan,Moving Average,1.3601647290566465,1.6221189738243564,19.396071247451257,19.75906297513407,3.9332997403107584e-05,8.266700024250895e-05,581,30
Japan,Naive,1.3692645494291897,1.6307740565382236,19.49138306460779,19.90008263297779,1.0959003702737391e-05,2.0000006770715117e-06,581,30
Japan,Random Forest,2.210157156427068,2.458568365727027,28.999240344515982,33.952958499971096,0.1425325829986832,0.8161177079964546,581,30
United States,ARIMA,0.5360953262591066,0.6364467552134541,15.304637557253423,13.743319246772412,0.03925549999985378,0.0005325000020093285,1103,30
United States,Random Forest,0.5830909773079558,0.6836244684345586,16.601843104516277,14.822937683686014,0.20757129200501367,0.8135787499995786,1103,30
United States,Moving Average,0.5919069383107125,0.6917930170682489,16.842812676479575,15.025020317746849,4.562499816529453e-05,7.945799734443426e-05,1103,30
United States,Naive,0.5939085878704546,0.6940056404320055,16.89886375062838,15.070541368212679,1.0666997695807368e-05,2.0000006770715117e-06,1103,30
