country,threshold_per_100k,wave_count,mean_peak_height,mean_duration_days
United States,3.0,3,84.20511818239017,382.3333333333333
Brazil,3.0,8,21.36179019559907,126.375
Japan,3.0,4,52.763790825010176,156.25
Germany,3.0,3,101.91052368863488,294.0
United States,5.0,3,107.1116265879531,355.0
Brazil,5.0,4,39.25641144624925,213.0
Japan,5.0,4,54.007414851826375,133.0
Germany,5.0,3,101.91052368863488,280.0
United States,10.0,6,66.15216626874,146.66666666666666
Brazil,10.0,7,33.18566528751854,95.28571428571429
Japan,10.0,2,100.36651050955449,223.0
Germany,10.0,4,84.22030705626568,180.25
